,ids,texts,user_ids,user_screen_name,in_reply_to_user_ids,in_reply_to_screen_names,user_mentionses,created_ats
583,1.37657E+18,"RT @jokowi: Indonesia sudah mendatangkan 53,5 juta dosis vaksin Covid-19 dari Sinovac dan AstraZeneca, dan akan datang lagi di waktu-waktu…",1.3338E+18,amirullahtahir1,,,"[{'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': 366987179, 'id_str': '366987179', 'indices': [3, 10]}]",3/29/2021 16:09
584,1.37656E+18,"RT @T_IndonesiaPost: Selama 3 bulan Vaksinasi, Indonesia sudah menggunakan vaksin sebanyak 10,4 Juta vaksin Covid-19.",4892782784,gilarius_7,,,"[{'screen_name': 'T_IndonesiaPost', 'name': 'The Indonesia Post', 'id': 1352549823321264128, 'id_str': '1352549823321264128', 'indices': [3, 19]}]",3/29/2021 15:37
585,1.37656E+18,"Bio Farma: Vaksin Covid-19 Sinovac  Siap Pakai untuk April Sebanyak 7,9 Juta Dosis - #INDONESIA

https://t.co/eKPsewHx9K",168469708,IDCorner,,,[],3/29/2021 15:30
586,1.37655E+18,"Selama 3 bulan Vaksinasi, Indonesia sudah menggunakan vaksin sebanyak 10,4 Juta vaksin Covid-19.",1.35255E+18,T_IndonesiaPost,,,[],3/29/2021 15:07
587,1.37655E+18,"RT @jokowi: Indonesia sudah mendatangkan 53,5 juta dosis vaksin Covid-19 dari Sinovac dan AstraZeneca, dan akan datang lagi di waktu-waktu…",1.25359E+18,GurunCacing,,,"[{'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': 366987179, 'id_str': '366987179', 'indices': [3, 10]}]",3/29/2021 15:03
588,1.37655E+18,"RT @jokowi: Indonesia sudah mendatangkan 53,5 juta dosis vaksin Covid-19 dari Sinovac dan AstraZeneca, dan akan datang lagi di waktu-waktu…",1.26843E+18,santri_selatan,,,"[{'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': 366987179, 'id_str': '366987179', 'indices': [3, 10]}]",3/29/2021 14:56
589,1.37655E+18,"RT @jokowi: Indonesia sudah mendatangkan 53,5 juta dosis vaksin Covid-19 dari Sinovac dan AstraZeneca, dan akan datang lagi di waktu-waktu…",1.27449E+18,ViolinaMasayu,,,"[{'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': 366987179, 'id_str': '366987179', 'indices': [3, 10]}]",3/29/2021 14:53
590,1.37655E+18,"RT @jokowi: Indonesia sudah mendatangkan 53,5 juta dosis vaksin Covid-19 dari Sinovac dan AstraZeneca, dan akan datang lagi di waktu-waktu…",1.33117E+18,PatriotMud4,,,"[{'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': 366987179, 'id_str': '366987179', 'indices': [3, 10]}]",3/29/2021 14:50
591,1.37655E+18,"@KremlinRussia For Future, the New World Order, Quality of Life, Next Generation, Sustainability on only One Planet… https://t.co/l4IiEgYKxs",1.17288E+18,1404Stj,1.17E+18,1404Stj,"[{'screen_name': 'KremlinRussia', 'name': 'Президент России', 'id': 158650448, 'id_str': '158650448', 'indices': [0, 14]}]",3/29/2021 14:42
592,1.37654E+18,"RT @narkosun: Alhamdulillah.

Indonesia beruntung sdh menjalin kerja sama dgn 4 produksi vaksin: Sinovac, Astrazeneca, Novavax &amp; Pfizer.

J…",195305417,NayDwiyana,,,"[{'screen_name': 'narkosun', 'name': 'IG: narkosun', 'id': 84221579, 'id_str': '84221579', 'indices': [3, 12]}]",3/29/2021 14:39
593,1.37654E+18,RT @ChusnulCh__: Indonesia saat ini posisi 4 besar negara tdk produksi vaksin tp telah melakukn penyuntikan diatas 10 juta sasaran vaksinas…,195305417,NayDwiyana,,,"[{'screen_name': 'ChusnulCh__', 'name': 'Chusnul Chotimah', 'id': 2928583759, 'id_str': '2928583759', 'indices': [3, 15]}]",3/29/2021 14:39
594,1.37654E+18,RT @ChusnulCh__: Indonesia saat ini posisi 4 besar negara tdk produksi vaksin tp telah melakukn penyuntikan diatas 10 juta sasaran vaksinas…,1.3138E+18,MaulanaLevine,,,"[{'screen_name': 'ChusnulCh__', 'name': 'Chusnul Chotimah', 'id': 2928583759, 'id_str': '2928583759', 'indices': [3, 15]}]",3/29/2021 14:35
595,1.37654E+18,"RT @Beritasatu: Bio Farma Telah Distribusikan 20,5 Juta Vaksin Covid ke Seluruh Indonesia https://t.co/ypIfIt0xiT https://t.co/OSxAuLCiw7",2784991235,MikhaelDaniel78,,,"[{'screen_name': 'Beritasatu', 'name': 'BeritaSatu', 'id': 154102750, 'id_str': '154102750', 'indices': [3, 14]}]",3/29/2021 14:22
596,1.37654E+18,Abis vaksin ke 2 langsung badan sakit kayak di gebukin se indonesia 😢,367637102,AiniLestiani_,,,[],3/29/2021 14:14
597,1.37654E+18,RT @ChusnulCh__: Indonesia saat ini posisi 4 besar negara tdk produksi vaksin tp telah melakukn penyuntikan diatas 10 juta sasaran vaksinas…,1.37255E+18,Separoh_Kumis,,,"[{'screen_name': 'ChusnulCh__', 'name': 'Chusnul Chotimah', 'id': 2928583759, 'id_str': '2928583759', 'indices': [3, 15]}]",3/29/2021 14:13
598,1.37654E+18,"RT @narkosun: Alhamdulillah.

Indonesia beruntung sdh menjalin kerja sama dgn 4 produksi vaksin: Sinovac, Astrazeneca, Novavax &amp; Pfizer.

J…",1.37255E+18,Separoh_Kumis,,,"[{'screen_name': 'narkosun', 'name': 'IG: narkosun', 'id': 84221579, 'id_str': '84221579', 'indices': [3, 12]}]",3/29/2021 14:13
599,1.37654E+18,"RT @narkosun: Vaksin untuk simbah...

Ayo mbah ikut vaksinasi pemerintah. Agar aman dari virus mematikan. 

Yg muda klo mau divaksin, bawa…",1.37255E+18,Separoh_Kumis,,,"[{'screen_name': 'narkosun', 'name': 'IG: narkosun', 'id': 84221579, 'id_str': '84221579', 'indices': [3, 12]}]",3/29/2021 14:10
600,1.37653E+18,"Gatau semua kelurahan di indonesia atau emang kelurahan w doang yah, kmren pas mau nikah syarat buat minta surat pe… https://t.co/ynssgVizKN",294528028,dhelsadell,,,[],3/29/2021 13:59
